salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
0.4,0.6,3.8,1.7,8.9,0.0,healthy
0.982,2.38,0.595,5.95,3.57,0.0,moderate
1.25,5.88,0.0,2.9,8.82,7.0,moderate
0.8025,2.56,0.0,2.6,7.69,2.0,healthy
0.02,37.0,0.1,7.2,1.8,1.0,unhealthy
0.85,5.4,1.4,6.3,5.9,2.0,moderate
0.3575,0.0,0.0,0.0,20.54,1.0,healthy
0.2,1.6,0.0,74.0,2.6,4.0,moderate
2.6,0.9,1.1,1.3,53.0,6.0,healthy
0.23,30.0,6.7,0.0,28.0,3.0,healthy
0.95,36.0,0.0,12.0,36.0,6.0,healthy
0.527,0.0,0.0,10.5,86.8,6.0,healthy
0.95,32.0,0.0,12.0,36.0,2.0,healthy
875.0,1.47,2.35,1.18,11.8,0.0,unhealthy
1.32,2.0,4.5,1.0,10.0,0.0,healthy
0.03048,30.0,0.0,7.5,2.5,0.0,unhealthy
0.913,34.6,0.0,11.5,34.6,6.0,healthy
0.03,6.5,9.75,4.2,8.75,3.0,healthy
0.9,1.8,1.6,1.4,3.9,0.0,moderate
0.01,26.0,25.0,11.0,10.0,0.0,moderate
0.05,0.0,0.1,4.5,4.3,0.0,healthy
0.05,0.0,0.0,5.8,4.4,0.0,healthy
0.04,0.0,0.0,5.1,4.1,0.0,healthy
0.08,0.0,0.0,4.0,4.0,0.0,healthy
0.05,0.0,0.0,4.1,4.8,0.0,healthy
0.11,3.1,1.9,1.1,3.9,0.0,unhealthy
0.26,12.0,0.5,3.0,4.0,0.0,moderate
0.125,35.0,20.0,5.0,5.0,3.0,unhealthy
1.45,4.0,2.0,2.0,8.0,4.0,unhealthy
0.85,2.1,6.4,14.0,16.4,0.0,unhealthy
0.0,0.0,0.0,0.0,0.0,6.0,unhealthy
2.97,34.38,0.0,0.0,0.0,0.0,unhealthy
1.25,36.0,0.0,4.0,16.0,8.0,unhealthy
0.125,60.0,1.25,5.0,2.5,1.0,unhealthy
2.5,26.0,1.6,12.0,0.6,4.0,unhealthy
5.0,0.0,0.0,0.0,1500.0,7.0,unhealthy
0.912,1.5,0.0,1.5,75.0,7.0,unhealthy
0.05,0.9,0.1,5.4,5.1,0.0,healthy
1.1,3.0,17.0,0.0,5.9,0.0,unhealthy
0.00759,1.57,0.0,0.735,0.539,0.0,unhealthy
0.05,14.9,0.1,2.9,4.3,1.0,moderate
0.12,5.4,2.1,0.0,3.5,0.0,unhealthy
23.98,0.5,0.1,0.5,0.5,1.0,unhealthy
7.32,14.3,0.0,0.0,57.1,3.0,unhealthy
1.72,3.12,6.25,6.25,56.2,1.0,unhealthy
